window,timestamp,y_true,y_pred
0,1990-12-11,11.1,12.965208155626014
0,1990-12-12,14.0,14.39395323015825
0,1990-12-13,11.4,14.364204902555253
0,1990-12-14,12.5,14.33451805653282
0,1990-12-15,13.4,14.3048925650255
0,1990-12-16,13.6,14.275328301230447
0,1990-12-17,13.9,14.245825138606882
1,1990-12-18,17.2,13.67309452018913
1,1990-12-19,14.7,13.5239129708943
1,1990-12-20,15.4,13.495689689441873
1,1990-12-21,13.1,13.467525307630229
1,1990-12-22,13.2,13.439419702540714
1,1990-12-23,13.9,13.4113727515112
1,1990-12-24,10.0,13.383384332135542
2,1990-12-25,12.9,11.695402657315645
2,1990-12-26,14.6,13.137139301433601
2,1990-12-27,14.0,13.109752315764407
2,1990-12-28,13.6,13.082422423726241
2,1990-12-29,13.5,13.055149506296049
2,1990-12-30,15.7,13.027933444698903
2,1990-12-31,13.0,13.000774120407483
