Dataset,Rank,Model,MAE,sMAPE,Configuration
Weather Melbourne,1,LSTM,1.8935155967871349,13.759869647522768,Standardized
Weather Melbourne,2,Zero-shot,1.905544598897298,13.997553673528726,Standardized
Weather Melbourne,3,Few-shot MoE,2.079864621324604,14.919356039168411,Standardized
Weather Melbourne,4,ARIMA,3.058611340316309,23.63451471531216,Standardized
Finance AAPL,1,Zero-shot,3.7730636596679705,1.559605116939542,Standardized
Finance AAPL,2,Few-shot MoE,4.157365519205732,1.730846879055462,Standardized
Finance AAPL,3,ARIMA,4.427672911664768,1.832786492999834,Standardized
Finance AAPL,4,LSTM,6.676071166992188,2.750613121315837,Standardized
CO2 Mauna Loa,1,Zero-shot,0.6052998860677042,0.1430985071044733,Standardized
CO2 Mauna Loa,2,Few-shot MoE,0.6622478193118154,0.1566932867541559,Standardized
CO2 Mauna Loa,3,ARIMA,0.7348510055200296,0.1738468527598039,Standardized
CO2 Mauna Loa,4,LSTM,9.690816322962442,2.313379757106304,Standardized
